Title	Comment	Video
Canon man tutorial hierarchical instanced static meshes	Canon man, totally not Bomberman! Talk about how unreal engine re-arranges an array internally.instanced meshes culling dithers in and out the meshes.	https://www.youtube.com/watch?v=bOjYP-c4qhA
C++ tanks vs zombies part 5	Tanky zombies! In blueprint editor you can click on the eye next to search bar at variables tab to show "Inherited variables", DeltaTime in tick can be 0 if Tick when paused is enabled. Implementing an interface in c++	https://www.youtube.com/watch?v=2g91AmYUFhA
Story driven gameplay and Cinematics with Sequencer	that is one happy orc killing a beast! Can use a cube as root so you can just edit the cube to move sub actors like character, camera easily, Curve editing	https://www.youtube.com/watch?v=TTn7AkpFbbk
Particle effect collisions	dampening factor is how rubbery something behaves when colliding, If using scene depth for gpu particles and you don't see the surface particles wont collide, stop collision setting can be used for painting on a surface  distance field if collisions can't use scene depth, has performance concerns though! distance field is per asset and not per instance,   if having 2 collisions for an emitter it uses the last one in emitter list, so if you want 2 types of collisions need to have 2 emitters, attaches 1 emitter to another  EventGenerators for cpu emitters, in this example on collision hit spawn a new emitter, gpu particles doesn't inherit velocity same as cpu particles if spawned  3d sphere mask to move a opacity mask in world space or color mask!	https://www.youtube.com/watch?v=7kaVFLThYRI
Physical Animations	that is one floppy mannequin! pxvis collision command, They show how to add constraints to a mannequin, Anti-aliasing post-process doesn't work well with debug lines 	https://www.youtube.com/watch?v=N1tDjbFXeOo
Procedural mesh slicing	If using static mesh for procedurally generated mesh enable CPU access in the mesh, *chop* *chop* *chop*, Ian is abusing the mesh! Ian's laughter at 1:29:05, If using this slicing technique it has to be procedurally meshes, not skeletal meshes e.t.c.	https://www.youtube.com/watch?v=hr9ybCCPw9Y
Blueprint drawing to render targets overview	Team Liquid won TI7, wieee!  Links from Sam: shaderbits.com/blog/uv-dilation - About dilation and padding with textures. https://www.unrealengine.com/en-US/blog/getting-the-most-out-of-noise-in-ue4 - Lots of useful information about noise  Can right click a render target to create a static texture, They alter the height of a mesh using render target, Enable Support UV from hit results	https://www.youtube.com/watch?v=1Z-V1Buk6z8
C++ Plugin based state machine part 2	Continues with their quest state machine plugin. Can copy array list entries in the editor!  Copy -> Paste,  Shift left click expand arrow expands all children arrows too, Right click to clear output log!	https://www.youtube.com/watch?v=0MhL9O09ZsM
Pawn Movement techniques	Can download the first demoed project through editor to see how A* e.t.c is done in blueprint, Player is a magnet to the other pawns (zombies), It gets crazy around 1h 9minutes, those zombies want to eat Ian! Also they cut a skeletal mesh	https://www.youtube.com/watch?v=lFpXqggbUP4
C++ plugin based state machine part 3	state machine to handle button input for fighting game	https://www.youtube.com/watch?v=R2V_D5Krdy4
Stereo Panoramic Plugin	Link with useful information: https://www.unrealengine.com/en-US/blog/capturing-stereoscopic-360-screenshots-videos-movies-unreal-engine-4  Seams at the poles of the rendering can potentially by hidden by black gradient or Photoshop's content aware, Stereo Panoramic doesn't work for screen space effects like light shafts, SSAO or gpu particles	https://www.youtube.com/watch?v=VfuQv_5RDRA
Plugin Based Fighting Game State Machine, Part 4	fistpuncher 2, the work from previous stream comes to fruition with punches, You gotta have a montage!, Project - Maps and Modes - Use Split screen local multiplayer	https://www.youtube.com/watch?v=41eqUIOR9Ew
Blueprint Implementing Local Multiplayer	camera pilot mode, ctrl+shift+p, CreatePlayer() - it automatically creates split screen, Turn off split screen in maps and modes project settings to disable that. There's a steam multiplayer tutorial that goes through setting up steam multiplayer.  Can copy input mappings from 1 DefaultInput.ini to another!	https://www.youtube.com/watch?v=ZOc9fV6Sap4
Hierarchical Level of Detail	Is good for reducing draw calls for a level. Enable hierarchical in world settings - LODSystem, Can re-generate a single cluster to speed up re-building	https://www.youtube.com/watch?v=WhcxGbKWdbI
Cable Component and 4.14 Features	Cable stiffness helps prevent buckle back on itself, Increasing substep time decreases chance of cable ending up in a bad way, The cable doesn't function as a spring so if it's applied to an actor that falls forever the cable gets infinite length 	https://www.youtube.com/watch?v=HNlYg2qY7cI
C++ Tanks vs Zombies part 6	//~ tells tooltip system to ignore that line	https://www.youtube.com/watch?v=ncEE6nT_WYA
World Position Offset Effects	Alan: "He's going to disappear... or get really really big", An erase character material with material erase node, TRON like	https://www.youtube.com/watch?v=EpbCul0I_d0
Blueprint Line and Shape Traces	you can not trace complex against Skeletal meshes - you will only get the physics asset Doing 36 000 line traces affects performance a bit! Doing 360 capsule traces affects performance a tiny bit.  Location is the location of the sphere when hit, Impact point is the point where the sphere overlapped with the traced object  When doing trace it needs to move a unit, if the distance moved is 0 no hits are returned. Predict projectile path for projectiles if predicting	https://www.youtube.com/watch?v=2LP5shWCnhc
Spline Importing	3ds max script to export spline data ( xyz, tangent in xyz,  tangent out xyz ) and then transform data correctly in unreal engine, the coordinate system between 3ds max and unreal has inverted Y axis, can drag and drop csv files!   blutility to run blueprint functions in editor	https://www.youtube.com/watch?v=N0CeLsI-sr8
Getting Started with Landscapes	Help -> Console Variables -> Open ConsoleHelp.html that has all console commands, "ConsoleCommand ?" - shows an explanation and default value of the written command  Landscape technical guide has really good in depth guide. Lit -> Exposure -> Fixed at Log 0 can fix bright surfaces Ctrl 1 - 3 -> 9? to bind the camera position and rotation to 1 - > 3 Shared Wrap texture setting in material bypasses DX10 and below limitation of max 4 layers per landscape component If you see flickering can try to change ZBounds extension,  flickering is most likely displacement pushed outside component bounds.  To break up tiling there are macro texture variations in starter content as example that adds some random noise, World Composition is for large open worlds	https://www.youtube.com/watch?v=gMKjIZMPJ0Q
Lighting Techniques and Guides	Capsule shadow to have soft shadows in already shadowed area, Scaling meshes can be bad as it stretches the baked lightmaps, Far shadow distance for large landscapes, If doing day/night cycle it's better to turn off light when its under the world  Emissive for static lights require a good lightmap resolution, DumpUnbuiltLightingInteractions lists actors that doesn't have built lighting	https://www.youtube.com/watch?v=jCsrWzt9F28
Getting Started with AI	https://askagamedev.tumblr.com/post/76972636953/game-development-myths-players-want-smart  Video is a short summary of the Make Game Ready AI series pretty much, Shows how to create a grab animation at ~11m with animation, Red line in behavior tree means failure, white means attempt	https://www.youtube.com/watch?v=nshHCycft4A
Creating Semi Procedural Materials	Has a project assets download link to go through in the editor, Random interiors in windows for buildings e.t.c., Call In editor checkbox for function or event creates a blutility! 	https://www.youtube.com/watch?v=1b3v5kyCTz4
Getting Started with Landscapes Materials and Foliage	Foliage instanced mesh documentation for in depth guide, Select Invalid selects foliage not touching the ground as CLEARLY demonstrated! If landscape lighting isn't looking right try the Use Landscape Lightmap checkbox, Windy tree gone extreme ~44m	https://www.youtube.com/watch?v=PDlGKZ1c3Zc
Destructible Editor Features and Guide	Unreal content level to look at examples with different settings, The mesh has to be a whole mesh or when it fractures it most likely gets holes, Destructible meshes doesn't work on mobile in 4.15 and below, Don't think it works in 4.16 and above.  Editor destructibles has 1 depth whereas externally done through example physXLab has up to 5.	https://www.youtube.com/watch?v=QyuvmZvsLdU
Robo Recall Sequencer Cinematics	If building cinematics for VR try and build the scene around the camera. Like in the Robo Recall where everything happens around the player.	https://www.youtube.com/watch?v=FUc49HYJeL0
Replication	IsLocallyControlled() can be used to example hide third person mesh for self but not other players  Can use OwnerNoSee in visibility settings instead also, Can add SocketPreview in skeletal mesh editor  Static Mesh replicate movement checkbox, however the server has no idea client has fired a projectile so boxes only moves if server fires gun. To solve the client spawning projectile need a server fire event that spawns the projectile (RPC) . RPC = Remote Procedure Calls   Net Cull Distance decides if the client needs to get the data for that actor or not, Console commands to simulate packet loss and delay	https://www.youtube.com/watch?v=hlDWovBcu7E
Getting Started with Level Streaming	There's a editor content level to showcase the level streaming, WorldComposition for open worlds and streaming levels where you know player is moving	https://www.youtube.com/watch?v=GkDg9GPpzXE
Lighting Techniques and Guides 2: Dynamic Lighting	Distance field (DF) shadows difference in resolution and texture size. If DF self-shadows have artifacts at edges in the Light Source for directional light setting "Ray Start Offset Depth Scale". Or in static mesh editor try to use Distance Field Bias.  Contact shadow is a screen space shadow technique so don't use it alone, IES = Illuminating  Engineering Society ! Can be useful for faking shadows if I understood correctly for performance.   If scene never uses static lighting disable it in rendering settings, Can use World Settings -> Force No Precomputed Lighting for per level setting  In the editor learning resource EffectsCave for cave lighting and particle effect, Can use a hidden low poly mesh to be used for shadows instead of high poly models	https://www.youtube.com/watch?v=nm1slxtF_qA
Getting Started with World Composition	They use World Machine software to make the heightmaps,	https://www.youtube.com/watch?v=FrcNClb6KUI
Getting Started with C++	Goes through UProperty and basic c++ things, 0.5 is a double by default, 0.5f is a float,  CDO =  class default object that all other classes will copy from when engine starts	https://www.youtube.com/watch?v=2ToUvURP4tE
Getting Started in VR	When learning VR learning resources:   * Showdown VR Demo ( Learn Tab Demo )  * NVIDIA VR Fun House  ( Modding Launcher Tab ) * Robo Recall ( Modding Launcher Tab, Oculus exclusive)  Ocular Vestibular Mismatch = VR Sickness! VR editor is cool	https://www.youtube.com/watch?v=afodIcU_vK4
Realtime Simulation and Volume Modelling Plugin	Happy face cloud, Pressure Diviser to at least 2 for performance, Useful for simulating and then render to a texture, [unroll] on loops in shader code for more accurate shader complexity when using loops	https://www.youtube.com/watch?v=CWzPP5FAYAg
Getting Started with Character Morph Targets	Important to name everything for less confusion! Morph modifier has to be beneath the skin modifier or it gets nullified (in 3ds max I think), ramp up normal map to make characters look old or add wrinkles	https://www.youtube.com/watch?v=5wWGaJL_Q_8
Animation Pose Snapshot	To quickly reset the physics asset without having to reset rotation e.t.c. inside physics editor:  - Hierarchy Bones with bodies  - Collision geometry: Sphere  - Add new body to root bone  - Physics type: Kinematic  - Turn off collisions  - Go to constraints  - For pelvis set linear limits to Free instead of locked   Project download: https://epicgames.box.com/v/TwitchProjectDownload 	https://www.youtube.com/watch?v=nkj6PAbGYtM
Blender to UE4	Trivia! mikktspace = Mikk from Morten S. Mikkelsen,  T space = tangent space Starts by showing off how to smooth groups and smooth artifacts, Hotkeys, many hotkeys :)  If you want to work with meters as scale in blender you need to set Units to meters and then unit scale to 0.01. Also turn off scale when exporting to FBX. It is easier to just do nothing though and keep the FBX scale as 1.0.	https://www.youtube.com/watch?v=KDP7GHFtAtE
Saving and Loading	There's no functionality that they know off to "cheat proof" a save game by obfuscating the data. 	https://www.youtube.com/watch?v=Adeu5yCDUuI
C++ Q&A	AddDebugMessageToScreen(key, ... ) the key is an index and will overwrite the same message if it's not -1, If copy-pasting code from internet, copy-paste everything! 	https://www.youtube.com/watch?v=STsqvPOTr_o
Baking Materials to Textures 	Guide on unrealengine.com "Render to Texture Blueprint toolset" https://docs.unrealengine.com/latest/INT/Engine/Content/Tools/RenderToTextureTools/Setup/index.html  Convert normal maps from HDR -> 8 bit. For Photoshop:  Open in photoshop -> Image -> Mode -> 8 Bit -> Method -> Exposure and Gamma -> OK !  Convert to world normals to tangent normals in Photoshop:  NVIDIA texture tools -> Alpha Field -> Set to 1.0 -> Alternate Conversions -> Max ( R, G, B ) -> OK  NVIDIA texture tools -> Alternate conversions -> normalize  LOD triangle reduction in percents is handy to quickly reduce triangle count! If using merge actors tool best to put UV coordinates within 0 -> 1 or might get pixelation artifacts or other artifacts when merging. The merge actors puts each actor into their own quadrant for the new UVs,  So better to work in even numbers. For example 3 meshes evenly splits the UV space into 4,  top left for 1 and so on.	https://www.youtube.com/watch?v=WaM_owaUpbE
Getting Started with Post Processing	Video starts around ~12.30 , There's a content example for post processing in editor, For depth of field green is close blurring - blue is far blurring.	https://www.youtube.com/watch?v=DFT7hFz_DpE
Getting Started with Gameplay Programming	Video starts at ~5.55, is about creating a custom camera that smoothly follows player, preprocessor #if !UE_BUILD_SHIPPING	https://www.youtube.com/watch?v=lL89frGkM4g
Getting Started with Composure 	Video starts at ~7.30, Composure is a plugin, They used real camera setup to take an IBL cubemap  It's important to use 24 fps film, or to match what you shot the footage as. The end goal of composure is to in real time be able to compose digital assets with real life assets but for now it's only pre-rendered.	https://www.youtube.com/watch?v=VIKBHiOIEK0
Depth and Location based effects	Location based opacity using a sphere mask. Used this technique for my game jam entry E For hugs. Willard also demonstrates similar things like using a texture for noise so the effect isn't applied to the whole mesh.	https://www.youtube.com/watch?v=GXbE0IqbA7w
